Node/Edge,1000,5346
Step/Entity,1600,20
meet_step
16,0,0,27,1,5,41,1,36,9,23,3,0,3,13,12,1,0,0,7,0,
17,22,40,0,21,25,0,46,0,0,29,31,44,38,0,0,38,0,0,2,15,
18,0,2,30,0,0,14,3,4,3,3,5,0,1,30,31,0,7,2,0,0,
19,8,13,0,5,10,1,11,0,6,2,7,16,8,0,0,14,0,15,0,0,
0,0,0,3,0,0,0,0,0,0,1,18,23,0,0,0,0,3,0,5,0,
1,0,0,2,0,8,0,22,47,36,3,0,0,0,57,10,36,0,32,0,0,
2,3,2,0,33,0,14,0,0,0,0,0,1,17,0,0,0,6,0,5,49,
3,0,0,33,0,0,24,0,0,1,8,0,0,10,1,0,1,1,0,5,37,
4,0,8,0,0,0,0,3,27,10,0,0,0,1,9,38,4,0,16,0,0,
5,0,0,14,24,0,0,0,2,0,12,1,0,8,0,0,1,27,1,10,17,
6,0,22,0,0,3,0,0,6,4,0,0,0,0,1,6,0,0,1,0,0,
7,0,47,0,0,27,2,6,0,18,0,0,0,1,45,19,28,0,21,0,1,
8,0,36,0,1,10,0,4,18,0,0,0,0,0,44,4,45,0,28,0,0,
9,1,3,0,8,0,12,0,0,0,0,2,0,2,1,0,1,44,0,33,4,
10,18,0,0,0,0,1,0,0,0,2,0,94,0,0,0,0,0,0,0,0,
11,23,0,1,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,
12,0,0,17,10,1,8,0,1,0,2,0,0,0,1,0,2,0,1,0,17,
13,0,57,0,1,9,0,1,45,44,1,0,0,1,0,6,37,0,27,0,0,
14,0,10,0,0,38,0,6,19,4,0,0,0,0,6,0,2,0,14,0,0,
15,0,36,0,1,4,1,0,28,45,1,0,0,2,37,2,0,0,15,0,0,
16,3,0,6,1,0,27,0,0,0,44,0,0,0,0,0,0,0,0,43,9,
17,0,32,0,0,16,1,1,21,28,0,0,0,1,27,14,15,0,0,0,0,
18,5,0,5,5,0,10,0,0,0,33,0,0,0,0,0,0,43,0,0,4,
19,0,0,49,37,0,17,0,1,0,4,0,0,17,0,0,0,9,0,4,0,
0,0,13,0,3,10,4,14,36,31,28,18,20,35,51,0,43,3,43,12,58,
1,13,0,0,6,14,13,17,9,28,4,35,22,10,8,0,5,20,7,14,3,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,
3,3,6,0,0,5,14,2,3,5,2,8,8,6,3,0,0,4,0,2,1,
4,10,14,0,5,0,6,9,3,16,4,7,15,20,11,0,2,4,7,9,1,
5,4,13,0,14,6,0,21,3,16,7,6,17,6,16,0,1,11,5,12,3,
6,14,17,0,2,9,21,0,2,15,4,16,15,5,7,0,7,9,5,5,15,
7,36,9,0,3,3,3,2,0,0,26,27,1,14,33,0,49,3,19,10,49,
8,31,28,0,5,16,16,15,0,0,4,29,30,12,12,0,5,23,8,13,1,
9,28,4,0,2,4,7,4,26,4,0,26,13,7,5,0,7,11,4,8,25,
10,18,35,0,8,7,6,16,27,29,26,0,19,9,4,0,20,13,3,12,22,
11,20,22,0,8,15,17,15,1,30,13,19,0,9,26,0,0,36,18,16,1,
12,35,10,0,6,20,6,5,14,12,7,9,9,0,42,0,37,16,36,42,37,
13,51,8,0,3,11,16,7,33,12,5,4,26,42,0,0,39,8,36,21,20,
14,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,43,5,0,0,2,1,7,49,5,7,20,0,37,39,0,0,4,30,10,80,
16,3,20,0,4,4,11,9,3,23,11,13,36,16,8,0,4,0,13,23,7,
17,43,7,0,0,7,5,5,19,8,4,3,18,36,36,0,30,13,0,20,19,
18,12,14,0,2,9,12,5,10,13,8,12,16,42,21,0,10,23,20,0,7,
19,58,3,0,1,1,3,15,49,1,25,22,1,37,20,0,80,7,19,7,0,
0,0,8,6,1,0,2,15,0,9,0,15,1,6,8,2,5,0,0,22,0,
1,8,0,1,1,0,9,7,0,22,4,8,0,18,9,0,4,0,0,14,1,
2,6,1,0,20,0,43,10,0,1,0,2,24,5,4,26,16,10,17,5,39,
